renderer,descriptor,target,is_predeclared_nominal_pair,n_images,n_seed_clusters,rho,cluster_ci_lower,cluster_ci_upper
Pillow_G-test,rule_of_thirds,visual_salience_index,False,6250,10,0.08874627629252624,0.06572351635108371,0.10585818929768943
Pillow_G-test,rule_of_thirds,focal_hierarchy_index,False,6250,10,0.00797618114986738,-0.019809797349704193,0.03550493090642712
Pillow_G-test,center_offset_x,structural_clutter_index,False,6250,10,0.13654033511659078,0.11719143440726586,0.1577327144742065
Pillow_G-test,center_offset_x,geometric_order_index,True,6250,10,-0.09448346867365957,-0.11733850572279401,-0.06968552894939947
Pillow_G-test,center_offset_x,palette_coherence_index,False,6250,10,0.04523878303692372,0.015695377411097344,0.07337376395398684
Pillow_G-test,center_offset_x,visual_salience_index,False,6250,10,0.05304263140103033,0.03357212752838778,0.07312108967523537
Pillow_G-test,center_offset_x,focal_hierarchy_index,False,6250,10,0.09107864210531881,0.0721026109433284,0.1160745040553714
Pillow_G-test,center_offset_y,structural_clutter_index,False,6250,10,0.2727139388413339,0.253923547004921,0.2893541795913523
Pillow_G-test,center_offset_y,geometric_order_index,True,6250,10,-0.4973334878119195,-0.514954673212431,-0.48060244367504396
Pillow_G-test,center_offset_y,palette_coherence_index,False,6250,10,0.14842295101870603,0.1311545684871858,0.1662105944758938
Pillow_G-test,center_offset_y,visual_salience_index,False,6250,10,-0.15773099926455963,-0.176933050761903,-0.14036390913794491
Pillow_G-test,center_offset_y,focal_hierarchy_index,False,6250,10,0.0019417747220425228,-0.021352225766518303,0.02317488161659158
internal_OpenCV,canny_edge_density,structural_clutter_index,True,1250,10,0.4684937234950647,0.4460769718579315,0.4919491401817982
internal_OpenCV,canny_edge_density,geometric_order_index,False,1250,10,0.20223347278621365,0.1748317324852831,0.22739034641983233
internal_OpenCV,canny_edge_density,palette_coherence_index,False,1250,10,0.017593391898847937,-0.00791827764635926,0.04330139589049335
